"Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10"
"규제","온라인","한국","금액","물류","투자","기업","달러","수출","결제"
"정부","상품","경제","제품","배송","기업","창업","미국","기업","서비스"
"은행","쇼핑몰","협력","해외","이커머스","금액","기술","알리바바","지원","페이"
"거래","고객","산업","판매","서비스","시장","대표","금액","이커머스","전자"
"금융","서비스","fta","매출","업체","알리바바","산업","회장","중소기업","기술"
"관련","이커머스","대통령","이커머스","택배","사업","세계","업체","무역","카드"
"경우","시장","일본","온라인","아마존","이커머스","혁신","시장","해외","은행"
"인터넷","판매","무역","소비자","아마존은","업체","스타트","기업","시장","이용"
"이커머스","마켓","우리","소비","시장","성장","경제","이커머스","사업","시장"
"문제","쇼핑","분야","증가","미국","매출","들이","최대","확대","인터넷"
"하기","제공","협상","지난해","아마존이","한국","사업","기록","진출","사용"
"사업자","국내","양국","구매","항공","최대","개발","세계","활용","정보"
"공정위","운영","투자","직구","배달","인수","분야","하락","한국","인증"
"소비","대표","이커머스","시장","사업","인도","인터넷","전망","활성화","삼성"
"경제","오픈","장관","브랜드","아마","지난해","글로벌","상승","이번","금융"
"기업","라인","정부","화장품","계획","진출","미래","매출","온라인","이커머스"
"하지","해외","참석","업체","가격","규모","사람","최고","협회","카카오"
"소비자","오프","하기","알리바바","존의","회사","회사","발표","계획","제공"
"개선","구매","회의","한국","쿠팡","국내","교육","예상","마케팅","보안"
"지적","플랫폼","시장","상품","하기","지분","성장","증시","교육","국내"
"보호","글로벌","개최","쇼핑","최대","게임","성공","조원","추진","시스템"
"정책","브랜드","이번","위안","물류센터","조원","우리","올해","하기","핀테크"
"필요","제품","기업","쇼핑몰","대한","인터넷","서울","실적","글로벌","간편"
"내용","마케팅","논의","들이","기업","그룹","한국","이날","국내","공인"
"제도","다양","미국","국내","주유소","글로벌","생각","지수","운영","기반"
"정보","유통","확대","올해","지난해","상장","데이터","지난해","올해","업체"
"강화","매장","추진","행사","업계","달러","지원","이후","지역","출시"
"기준","소비자","국가","최대","지역","증권","디지털","경제","중소","스마트폰"
"마련","한국","강화","군제","운송","올해","센터","거래","뉴스","사용자"
"개정","금액","세계","가격","도시","전망","변화","증가","산업","인증서"
"때문","패션","관련","조원","화물","회장","발전","가격","개최","플랫폼"
"발생","진출","서비스","이상","세계","대표","시대","대비","정부","고객"
"도입","사업","포럼","대비","통운","설립","하기","투자","제품","개발"
"대출","진행","체결","경우","투자","서비스","다양","삼성","센터","가능"
"조사","마트","회장","미국","확대","확대","미국","마윈","대상","이용자"
"조치","전문","방문","할인","개발","증가","필요","들이","관세","온라인"
"행위","업체","국제","사이트","특송","미국","사회","트럼프","진흥","기능"
"산업","입점","발전","전년","달러","펀드","때문","상장","우수","기업"
"규정","배송","방안","규모","주문","업계","기반","보도","com","활용"
"들이","계획","이날","기록","창고","온라인","이커머스","기준","구축","애플"
"추진","들이","협정","달러","인천","계획","활용","포인트","적극","스마트"
"안전","채널","성장","인터넷","고객","국의","시장","the","중견","다양"
"방안","홈쇼핑","합의","전체","국내","보유","시작","주가","통관","들이"
"대상","하기","상품","국의","운영","부문","중요","인수","예정","하기"
"위반","전략","중남미","관련","물량","세계","직원","애플","강화","기존"
"시행","업계","통상","기간","시간","뱅크","연구","감소","마련","검색"
"상황","기업","타결","비중","규모","실적","창조","전자","마을","방식"
"국내","이번","참여","의류","국제","기록","비즈니스","위안","참가","세계"
"주장","이용","진출","이용","회사","플랫폼","경영","뉴욕","판매","미국"
"관리","확대","강조","블랙","시스템","엔터테인먼트","문화","주식","참여","적용"
"업체","이상","노력","성장","금액","대비","투자","ipo","행사","신용카드"
"요구","백화점","진행","중국인","이번","예상","교수","규모","유통","도입"
"가격","구축","아세안","수입","상품","일본","전략","반도체","체결","하면"
"계획","사이트","인도","프라이데이","들이","연구","제공","가치","공단","번호"
"국민","예정","계획","역직","판매","이번","서비스","com","서울","때문"
"완화","할인","자원","때문","경쟁","확보","경험","ceo","우리","업계"
"위원회","카페24","자유","인기","이용","분야","산업혁명","회사","진행","글로벌"
"전문","쿠팡","에너지","거래","이상","샤오","과정","자산","금액","솔루션"
"금액","소셜커머스","예정","분석","푸드","관련","로봇","수준","분야","자동차"
"제한","코리","개국","시작","프라임","영업이익","강조","이상","현지","계획"
"판매","강화","주요","배송","인수","하기","ict","점유율","정보화","시작"
"적용","현지","개발","환불","공항","자회사","분석","투자자","뉴시스","알리"
"개인정보","솔루션","정책","급증","석유","nhn","프로그램","부진","상담회","확대"
"의무","베이","자유무역협정","품목","시작","해외","자신","때문","전략","필요"
"보험","대상","3국","전망","시설","거래","창업자","페이","소비재","관련"
"국회","가격","총리","구입","유통","목표","관련","and","전문","데이터"
"당국","사업자","지역","서울","무인","주주","최고","저널","육성","확인"
"우려","그룹","부총리","com","기존","이상","전문","우려","개사","신한"
"부과","성장","관계","결과","제공","들이","대학","국의","협력","카드사"
"허용","최대","개방","세계","일본","성공","기회","영향","kotra","예정"
"해당","시작","차관","상담","국토","가치","문제","월스트리트","제공","이상"
"확인","여행","금융","작년","처리","라인","플랫폼","가운데","코트","가상"
"일부","매출","활성화","시간","하면","com","일자리","마감","기관","분야"
"활성화","관계자","비즈니스","물품","로켓","추진","인공지능","금리","선정","분석"
"결과","통합","기술","하루","부동산","텐센트","스마트","이번","홍보","관계자"
"광고","가능","우리나라","일본","물품","금융","하지","1분기","개척","제품"
"개정안","기존","교역","관계자","때문","소프트","가치","sk하이닉스","newsis","라인"
"발표","서울","tpp","명품","직원","분석","융합","시가총액","발굴","쇼핑"
"분야","활용","프라","물건","차량","예정","아이디어","주당","규모","가맹점"
"이상","무료","정상","센터","com","때문","시간","가능성","지난해","거래"
"신고","대형","역내","반품","올해","가능성","제품","경영자","식품","최대"
"경쟁","일본","국의","가운데","도입","수익","청년","분석","경제","전망"
"사실","동남","경제협력","기준","공급","광고","빅데이터","전날","들이","제휴"
"의원","시스템","교류","설명","증가","카카오","클라우드","경기","연계","탑재"
"공정거래위원회","o2o","박근혜","조사","가능","자금","창출","영국","농산물","하나"
"책임","판매자","공동","매장","식료품","이라","전문가","주요","방안","송금"
"시장","광고","중요","평균","활용","위안","모델","전문가","업체","구축"
"법률","혜택","해수","하면","서울","전년","중심","분기","공동","수단"
"관계자","주문","정상회의","동안","우정","산업","정보","이베","경쟁력","메신저"
"피해","지원","마련","정도","글로벌","설명","하나","지난달","유망","네이버"
"포함","신세계","수출","식품","관계자","네시","과학","지표","플랫폼","한국"
"사건","com","발효","이번","유치","주가","진행","성장","세상","지급"
"확대","설명","mou","관세","산업","이후","정도","아마존","달러","디지털"
"외국","한류","계기","짝퉁","월마트","관계자","운영","뉴욕증시","시스템","전문"
"부담","인기","수준","건강","온라인","투자자","회장","창업자","신고","프로그램"
"여부","하면","한국의","주문","비용","바이","정부","사상","설명회","사업"
"하면","기반","청와대","데이","식품","영화","핵심","평가","개발","입력"
"표시","커머스","포함","집계","예정","기준","여성","판매","스탠드","비밀"
"사용","성공","정상회담","접수","전망","전재","환경","인상","부산","하지"
"가능","디지털","필요","예상","일자리","무단","생태계","전년","관련","경우"
